canton_code,canton_name,noga_division,noga_label,year,etablissements,emplois,emplois_eq_plein_temps
1,"Zürich",74,"74 Autres activités spécialisées, scientifiques et techniques",2023,5837,10947,6848
1,"Zürich",75,"75 Activités vétérinaires",2023,213,1117,806
1,"Zürich",77,"77 Activités de location et location-bail",2023,313,2296,1850
1,"Zürich",78,"78 Activités liées à l'emploi",2023,649,33038,21510
1,"Zürich",79,"79 Activités des agences de voyage, voyagistes, services de réservation et activités connexes",2023,456,4019,3191
1,"Zürich",80,"80 Enquêtes et sécurité",2023,174,4981,3562
1,"Zürich",81,"81 Services relatifs aux bâtiments et aménagement paysager",2023,3498,37673,22842
1,"Zürich",82,"82 Activités administratives et autres activités de soutien aux entreprises",2023,818,5776,4362
1,"Zürich",84,"84 Administration publique et défense, sécurité sociale obligatoire",2023,943,35638,28474
1,"Zürich",85,"85 Enseignement",2023,7787,106528,60383
1,"Zürich",86,"86 Activités pour la santé humaine",2023,13065,87959,62047
1,"Zürich",87,"87 Hébergement médico-social et social",2023,623,35376,25458
1,"Zürich",88,"88 Action sociale sans hébergement",2023,2879,30509,19424
1,"Zürich",90,"90 Activités créatives, artistiques et de spectacle",2023,3796,8237,4179
1,"Zürich",91,"91 Bibliothèques, archives, musées et autres activités culturelles",2023,201,3189,1973
1,"Zürich",92,"92 Organisation de jeux de hasard et d'argent",2023,12,225,167
1,"Zürich",93,"93 Activités sportives, récréatives et de loisirs",2023,1742,13740,7399
1,"Zürich",94,"94 Activités des organisations associatives",2023,2370,21724,12671
1,"Zürich",95,"95 Réparation d'ordinateurs et de biens personnels et domestiques",2023,403,1096,884
1,"Zürich",96,"96 Autres services personnels",2023,8050,14240,9603
2,"Bern / Berne",999,"Division économique - total",2023,80883,673902,505489
2,"Bern / Berne",1,"01 Culture et production animale, chasse et services annexes",2023,9889,30124,19158
2,"Bern / Berne",2,"02 Sylviculture et exploitation forestière",2023,208,838,659
2,"Bern / Berne",3,"03 Pêche et aquaculture",2023,20,67,60
2,"Bern / Berne",5,"05 Extraction de houille et de lignite",2023,0,0,0
2,"Bern / Berne",6,"06 Extraction d'hydrocarbures",2023,0,0,0
2,"Bern / Berne",7,"07 Extraction de minerais métalliques",2023,0,0,0
2,"Bern / Berne",8,"08 Autres industries extractives",2023,45,644,582
2,"Bern / Berne",9,"09 Services de soutien aux industries extractives",2023,0,0,0
2,"Bern / Berne",10,"10 Industries alimentaires",2023,718,11968,10017
2,"Bern / Berne",11,"11 Fabrication de boissons",2023,69,461,339
2,"Bern / Berne",12,"12 Fabrication de produits à base de tabac",2023,0,0,0
2,"Bern / Berne",13,"13 Fabrication de textiles",2023,114,983,825
2,"Bern / Berne",14,"14 Industrie de l'habillement",2023,201,434,272
2,"Bern / Berne",15,"15 Industrie du cuir et de la chaussure",2023,40,122,95
2,"Bern / Berne",16,"16 Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie",2023,1039,5641,4895
2,"Bern / Berne",17,"17 Industrie du papier et du carton",2023,22,833,765
