source_scheme,source_code,target_scheme,target_code,relation,source_id
NACE_2.0,1092,ISIC_4,1080,closeMatch,eurostat-nace2-isic4
NACE_2.0,11,ISIC_4,11,closeMatch,eurostat-nace2-isic4
NACE_2.0,110,ISIC_4,110,closeMatch,eurostat-nace2-isic4
NACE_2.0,1101,ISIC_4,1101,closeMatch,eurostat-nace2-isic4
NACE_2.0,1102,ISIC_4,1102,closeMatch,eurostat-nace2-isic4
NACE_2.0,1103,ISIC_4,1102,closeMatch,eurostat-nace2-isic4
NACE_2.0,1104,ISIC_4,1102,closeMatch,eurostat-nace2-isic4
NACE_2.0,1105,ISIC_4,1103,closeMatch,eurostat-nace2-isic4
NACE_2.0,1106,ISIC_4,1103,closeMatch,eurostat-nace2-isic4
NACE_2.0,1107,ISIC_4,1104,closeMatch,eurostat-nace2-isic4
NACE_2.0,12,ISIC_4,12,closeMatch,eurostat-nace2-isic4
NACE_2.0,120,ISIC_4,120,closeMatch,eurostat-nace2-isic4
NACE_2.0,1200,ISIC_4,1200,closeMatch,eurostat-nace2-isic4
NACE_2.0,13,ISIC_4,13,closeMatch,eurostat-nace2-isic4
NACE_2.0,131,ISIC_4,131,closeMatch,eurostat-nace2-isic4
NACE_2.0,1310,ISIC_4,1311,closeMatch,eurostat-nace2-isic4
NACE_2.0,132,ISIC_4,131,closeMatch,eurostat-nace2-isic4
NACE_2.0,1320,ISIC_4,1312,closeMatch,eurostat-nace2-isic4
NACE_2.0,133,ISIC_4,131,closeMatch,eurostat-nace2-isic4
NACE_2.0,1330,ISIC_4,1313,closeMatch,eurostat-nace2-isic4
NACE_2.0,139,ISIC_4,139,closeMatch,eurostat-nace2-isic4
NACE_2.0,1391,ISIC_4,1391,closeMatch,eurostat-nace2-isic4
NACE_2.0,1392,ISIC_4,1392,closeMatch,eurostat-nace2-isic4
NACE_2.0,1393,ISIC_4,1393,closeMatch,eurostat-nace2-isic4
NACE_2.0,1394,ISIC_4,1394,closeMatch,eurostat-nace2-isic4
NACE_2.0,1395,ISIC_4,1399,closeMatch,eurostat-nace2-isic4
NACE_2.0,1396,ISIC_4,1399,closeMatch,eurostat-nace2-isic4
NACE_2.0,1399,ISIC_4,1399,closeMatch,eurostat-nace2-isic4
NACE_2.0,14,ISIC_4,14,closeMatch,eurostat-nace2-isic4
NACE_2.0,141,ISIC_4,141,closeMatch,eurostat-nace2-isic4
NACE_2.0,1411,ISIC_4,1410,closeMatch,eurostat-nace2-isic4
NACE_2.0,1412,ISIC_4,1410,closeMatch,eurostat-nace2-isic4
NACE_2.0,1413,ISIC_4,1410,closeMatch,eurostat-nace2-isic4
NACE_2.0,1414,ISIC_4,1410,closeMatch,eurostat-nace2-isic4
NACE_2.0,1419,ISIC_4,1410,closeMatch,eurostat-nace2-isic4
NACE_2.0,142,ISIC_4,142,closeMatch,eurostat-nace2-isic4
NACE_2.0,1420,ISIC_4,1420,closeMatch,eurostat-nace2-isic4
NACE_2.0,143,ISIC_4,143,closeMatch,eurostat-nace2-isic4
NACE_2.0,1431,ISIC_4,1430,closeMatch,eurostat-nace2-isic4
NACE_2.0,1439,ISIC_4,1430,closeMatch,eurostat-nace2-isic4
NACE_2.0,15,ISIC_4,15,closeMatch,eurostat-nace2-isic4
NACE_2.0,151,ISIC_4,151,closeMatch,eurostat-nace2-isic4
NACE_2.0,1511,ISIC_4,1511,closeMatch,eurostat-nace2-isic4
NACE_2.0,1512,ISIC_4,1512,closeMatch,eurostat-nace2-isic4
NACE_2.0,152,ISIC_4,152,closeMatch,eurostat-nace2-isic4
NACE_2.0,1520,ISIC_4,1520,closeMatch,eurostat-nace2-isic4
NACE_2.0,16,ISIC_4,16,closeMatch,eurostat-nace2-isic4
NACE_2.0,161,ISIC_4,161,closeMatch,eurostat-nace2-isic4
