noga_2008,noga_2025,nace_2_0,nace_2_1,isic_4,mapping_type,notes
,,0510,,0510,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,052,,052,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0520,,0520,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,06,,06,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,061,,061,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0610,,0610,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,062,,062,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0620,,0620,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,07,,07,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,071,,071,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0710,,0710,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,072,,072,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0721,,0721,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0729,,0729,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,08,,08,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,081,,081,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0811,,0810,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0812,,0810,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,089,,089,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0891,,0891,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0892,,0892,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0893,,0893,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0899,,0899,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,09,,09,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,091,,091,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0910,,0910,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,099,,099,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0990,,0990,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,10,,10,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,101,,101,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1011,,1010,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1012,,1010,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1013,,1010,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,102,,102,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1020,,1020,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,103,,103,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1031,,1030,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1032,,1030,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1039,,1030,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,104,,104,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1041,,1040,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1042,,1040,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,105,,105,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1051,,1050,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1052,,1050,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,106,,106,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1061,,1061,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1062,,1062,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,107,,107,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1071,,1071,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1072,,1071,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1073,,1074,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,108,,107,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1081,,1072,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1082,,1073,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1083,,1079,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1084,,1079,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1085,,1075,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1086,,1079,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1089,,1079,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,109,,108,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1091,,1080,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1092,,1080,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,11,,11,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,110,,110,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1101,,1101,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
