name,country,date_added,category,source_url,source_list,warning_type,additional_info
www.finassetrust-ag.com ; https://fatrust.com/ ; https://www.sfam-trust.ch/,,2024-11-29,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-finassetrust-ag-com-https-fatrust-com-https-www-sfam-trust-ch/,finma-warnings,unauthorized_provider,www-finassetrust-ag-com-https-fatrust-com-https-www-sfam-trust-ch
www.rubelliuscap.com / www.rubellius-cap.com,,2024-11-29,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-rubelliuscap-com--www-rubellius-cap-com/,finma-warnings,unauthorized_provider,www-rubelliuscap-com--www-rubellius-cap-com
www.apluscapital.ag,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-apluscapital-ag/,finma-warnings,unauthorized_provider,www-apluscapital-ag
Wealth Trade Capital,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/wealth-trade-capital/,finma-warnings,unauthorized_provider,wealth-trade-capital
https://prestigefinanceag.com/,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/prestigefinanceag-com/,finma-warnings,unauthorized_provider,prestigefinanceag-com
satoshi swiss Crypto Asset Management Group,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/satoshi-swiss-crypto-asset-management-group/,finma-warnings,unauthorized_provider,satoshi-swiss-crypto-asset-management-group
www.quellenag-am.com,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-quellenag-am/,finma-warnings,unauthorized_provider,www-quellenag-am
Salvisberg Asset Management / SH Asset Management AG,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/salvisberg-asset-management---sh-asset-management-ag/,finma-warnings,unauthorized_provider,salvisberg-asset-management---sh-asset-management-ag
Crypto Lords,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/crypto-lords/,finma-warnings,unauthorized_provider,crypto-lords
Bitlogic Systems,,2024-11-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/bitlogic-systems/,finma-warnings,unauthorized_provider,bitlogic-systems
Amitron AG,,2024-11-27,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/amitron-ag/,finma-warnings,unauthorized_provider,amitron-ag
Sortino.co,,2024-11-27,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/sortino_co/,finma-warnings,unauthorized_provider,sortino_co
Great North Markets,,2024-11-27,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/great-north-markets/,finma-warnings,unauthorized_provider,great-north-markets
TUT1Bank SA,,2024-11-27,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/tut1bank-sa/,finma-warnings,unauthorized_provider,tut1bank-sa
Maxifxnft,,2024-11-26,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/maxifxnft/,finma-warnings,unauthorized_provider,maxifxnft
Trust One Unions,,2024-11-26,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/trust-one-unions/,finma-warnings,unauthorized_provider,trust-one-unions
piggy Switzerland AG,,2024-11-25,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/piggy-switzerland-ag/,finma-warnings,unauthorized_provider,piggy-switzerland-ag
allpart ag,,2024-11-21,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/allpart-ag/,finma-warnings,unauthorized_provider,allpart-ag
MAPA Finanz GmbH,,2024-11-18,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/mapa-finanz-gmbh/,finma-warnings,unauthorized_provider,mapa-finanz-gmbh
Bardinvests,,2024-11-15,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/bardinvests/,finma-warnings,unauthorized_provider,bardinvests
Investing Funds,,2024-11-14,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/investing-funds/,finma-warnings,unauthorized_provider,investing-funds
yml-ebk,,2024-11-14,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/yml-ebk/,finma-warnings,unauthorized_provider,yml-ebk
Corner Stone Trade Inc,,2024-11-14,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/corner-stone-trade-inc/,finma-warnings,unauthorized_provider,corner-stone-trade-inc
https://financeadvisoryag.com/,,2024-11-14,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/financeadvisoryag-com/,finma-warnings,unauthorized_provider,financeadvisoryag-com
www.globalgateassetsmgt.com,,2024-11-13,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-globalgateassetsmgt-com/,finma-warnings,unauthorized_provider,www-globalgateassetsmgt-com
