hs8,hs6,chapter,heading,designation_fr,designation_de,designation_it,designation_en,unit_stat,duty_mfn_value,duty_mfn_unit,duty_mfn_currency,preferential_regimes,restrictions_codes,customs_relief_codes,valid_from,source_url
15011011,150110,15,1501,brut,roh,greggio,crude,per 100 kg gross,0,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free"",""indonesie"":""free"",""inde"":""free""}",[],"[""01""]",2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=15011011
15081090,150810,15,1508,autre,anderes,altro,other,per 100 kg gross,127.2,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free"",""pays_et_territoires_en_developpement"":""free"",""turkiye"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""perou"":""free"",""montenegro"":""free"",""costa_rica"":""free"",""bosnie_herzegovine"":""free"",""georgie"":""free"",""indonesie"":""free"",""inde"":""free"",""coree_sud"":""free""}",[],"[""01"",""10""]",1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=15081090
15131999,151319,15,1513,autres,andere,altri,other,per 100 kg gross,156.1,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free"",""pays_et_territoires_en_developpement"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""bosnie_herzegovine"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""indonesie"":""free"",""inde"":""free"",""coree_sud"":""free""}",[],"[""01"",""10""]",1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=15131999
15159099,151590,15,1515,autres,andere,altri,other,per 100 kg gross,149.1,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free"",""chine_sans_hong_kong"":133.4,""equateur"":133.4,""indonesie"":""free"",""moldova_republique_de"":""free"",""coree_sud"":""free"",""pays_et_territoires_en_developpement"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""bosnie_herzegovine"":""free"",""philippines"":""free"",""georgie"":""free"",""inde"":""free""}",[],"[""01"",""10"",""26""]",1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=15159099
19011011,190110,19,1901,d'une teneur en poids de matières grasses du lait excédant 12 %,mit einem Gehalt an Milchfett von mehr als 12 Gewichtsprozent,"aventi tenore, in peso, di materie grasse del latte eccedente 12 %",containing more than 12 % by weight of milkfat,per 100 kg gross,159.2,par 100 kg brut,CHF,"{""union_europeenne"":147.35,""efta"":149.2,""pays_et_territoires_en_developpement"":149.2,""union_douaniere_d_afrique_australe"":149.2,""pays_en_developpement_les_moins_avances"":""free"",""conseil_de_cooperation_du_golfe"":149.2,""etats_d_amerique_centrale"":149.2,""turkiye"":149.2,""maroc"":149.2,""cisjordanie_et_bande_de_gaza"":149.2,""macedoine_du_nord"":149.2,""jordanie"":149.2,""chili"":149.2,""tunisie"":149.2,""liban"":149.2,""israel"":149.2,""lesotho"":""free"",""canada"":149.2,""colombie"":149.2,""serbie"":149.2,""albanie"":149.2,""ukraine"":149.2,""perou"":149.2,""montenegro"":149.2,""hong_kong"":149.2,""bosnie_herzegovine"":149.2,""chine_sans_hong_kong"":149.2,""philippines"":149.2,""georgie"":149.2,""equateur"":149.2,""royaume_uni"":147.35,""indonesie"":149.2,""moldova_republique_de"":149.2,""inde"":149.2,""singapour"":149.2,""coree_sud"":149.2}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=19011011
19019021,190190,19,1901,excédant 80 %,mehr als 80 Gewichtsprozent,eccedente 80 %,more than 80 %,per 100 kg gross,30.1,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":10.1,""pays_et_territoires_en_developpement"":10.1,""union_douaniere_d_afrique_australe"":10.1,""pays_en_developpement_les_moins_avances"":""free"",""conseil_de_cooperation_du_golfe"":10.1,""etats_d_amerique_centrale"":10.1,""turkiye"":10.1,""maroc"":10.1,""cisjordanie_et_bande_de_gaza"":10.1,""macedoine_du_nord"":10.1,""jordanie"":10.1,""chili"":10.1,""tunisie"":10.1,""liban"":10.1,""israel"":10.1,""lesotho"":""free"",""canada"":10.1,""colombie"":10.1,""serbie"":10.1,""albanie"":10.1,""ukraine"":10.1,""perou"":10.1,""montenegro"":10.1,""hong_kong"":10.1,""bosnie_herzegovine"":10.1,""chine_sans_hong_kong"":10.1,""philippines"":10.1,""georgie"":10.1,""equateur"":10.1,""royaume_uni"":""free"",""indonesie"":10.1,""moldova_republique_de"":10.1,""inde"":""free"",""singapour"":10.1,""coree_sud"":10.1}",[],,1998-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=19019021
19021110,190211,19,1902,obtenues exclusivement à partir de blé dur,ausschliesslich aus Hartweizen,composte esclusivamente di grano duro,made exclusively from durum wheat,per 100 kg gross,18,par 100 kg brut,CHF,"{""union_europeenne"":6.1,""efta"":15,""pays_et_territoires_en_developpement"":15,""union_douaniere_d_afrique_australe"":15,""pays_en_developpement_les_moins_avances"":""free"",""conseil_de_cooperation_du_golfe"":15,""etats_d_amerique_centrale"":15,""turkiye"":15,""maroc"":15,""cisjordanie_et_bande_de_gaza"":15,""macedoine_du_nord"":15,""jordanie"":15,""chili"":15,""tunisie"":15,""liban"":15,""israel"":15,""lesotho"":""free"",""canada"":15,""colombie"":15,""serbie"":15,""albanie"":15,""ukraine"":15,""perou"":15,""montenegro"":15,""hong_kong"":15,""bosnie_herzegovine"":15,""chine_sans_hong_kong"":15,""philippines"":15,""georgie"":15,""equateur"":15,""royaume_uni"":6.1,""indonesie"":15,""inde"":15,""singapour"":15,""coree_sud"":15}",[],,2005-02-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=19021110
19053113,190531,19,1905,excédant 3 % mais n'excédant pas 6 %,"mehr als 3 Gewichtsprozent, jedoch nicht mehr als 6 Gewichtsprozent",eccedente 3 % ma non eccedente 6 %,exceeding 3 % but not exceeding 6 %,per 100 kg gross,128.65,par 100 kg brut,CHF,"{""union_europeenne"":63,""efta"":68.65,""pays_et_territoires_en_developpement"":68.65,""union_douaniere_d_afrique_australe"":68.65,""pays_en_developpement_les_moins_avances"":""free"",""conseil_de_cooperation_du_golfe"":68.65,""etats_d_amerique_centrale"":68.65,""turkiye"":66.65,""maroc"":68.65,""cisjordanie_et_bande_de_gaza"":68.65,""macedoine_du_nord"":68.65,""jordanie"":68.65,""chili"":68.65,""tunisie"":68.65,""liban"":68.65,""israel"":68.65,""lesotho"":""free"",""canada"":68.65,""colombie"":68.65,""serbie"":68.65,""albanie"":68.65,""ukraine"":68.65,""perou"":68.65,""montenegro"":68.65,""hong_kong"":68.65,""bosnie_herzegovine"":68.65,""chine_sans_hong_kong"":68.65,""philippines"":68.65,""georgie"":68.65,""equateur"":68.65,""royaume_uni"":63,""indonesie"":68.65,""moldova_republique_de"":68.65,""inde"":68.65,""singapour"":68.65,""coree_sud"":68.65}",[],,2005-02-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=19053113
22011000,220110,22,2201,eaux minérales et eaux gazéifiées,Mineralwasser und mit Kohlensäure versetztes Wasser,acque minerali e acque gassate,mineral waters and aerated waters,per 100 kg gross,1,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""chili"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=22011000
22030020,220300,22,2203,en récipients d'une contenance excédant 2 l mais n'excédant pas 2 hl,"in Behältnissen mit einem Fassungsvermögen von mehr als 2 l, jedoch nicht mehr als 2 hl",in recipienti di capacità eccedente 2 l ma non eccedente 2 hl,in containers holding more than 2 litres but not more than 2 hl,per 100 kg gross,8,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":3.5,""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""chili"":""free"",""tunisie"":3.5,""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=22030020
