hs8,hs6,chapter,heading,designation_fr,designation_de,designation_it,designation_en,unit_stat,duty_mfn_value,duty_mfn_unit,duty_mfn_currency,preferential_regimes,restrictions_codes,customs_relief_codes,valid_from,source_url
48010000,480100,48,4801,"Papier journal, en rouleaux ou en feuilles","Zeitungsdruckpapier, in Rollen oder Bogen","Carta da giornale, in rotoli o in fogli","Newsprint, in rolls or sheets",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=48010000
48051100,480511,48,4805,papier mi-chimique pour cannelure,Halbzellstoffpapier für die Welle der Wellpappe,carta semichimica da ondulare,semi-chemical fluting paper,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2002-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=48051100
48102900,481029,48,4810,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=48102900
48182000,481820,48,4818,"mouchoirs, serviettes à démaquiller et essuie-mains","Taschentücher, Abschminktücher und Handtücher","fazzoletti, fazzolettini per togliere il trucco e asciugamani","handkerchiefs, cleansing or facial tissues and towels",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=48182000
52010000,520100,52,5201,"Coton, non cardé ni peigné","Baumwolle, weder kardiert noch gekämmt","Cotone, non cardato né pettinato","Cotton, not carded or combed",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=52010000
52054800,520548,52,5205,"titrant en fils simples moins de 83,33 décitex (excédant 120 numéros métriques en fils simples)","mit einem Titer der Einfachgarne von weniger als 83,33 Dezitex (mehr als Nummer metrisch 120)","aventi un titolo di filati semplici inferiore a 83,33 decitex (eccedente il numero metrico 120 di filati semplici)",measuring per single yarn less than 83.33 decitex (exceeding 120 metric number per single yarn),per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=52054800
52083100,520831,52,5208,"à armure toile, d'un poids n'excédant pas 100 g/m²","in Leinwandbindung, mit einem Quadratmetergewicht von nicht mehr als 100 g","a armatura tela, di peso non eccedente 100 g/m²","plain weave, weighing not more than 100 g/m²",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=52083100
52103100,521031,52,5210,à armure toile,in Leinwandbindung,a armatura tela,plain weave,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=52103100
61012000,610120,61,6101,de coton,aus Baumwolle,di cotone,of cotton,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=61012000
61043300,610433,61,6104,de fibres synthétiques,aus synthetischen Fasern,di fibre sintetiche,of synthetic fibres,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=61043300
61072900,610729,61,6107,d'autres matières textiles,aus anderen Spinnstoffen,di altre materie tessili,of other textile materials,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=61072900
61121200,611212,61,6112,de fibres synthétiques,aus synthetischen Fasern,di fibre sintetiche,of synthetic fibres,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=61121200
62012000,620120,62,6201,de laine ou de poils fins,aus Wolle oder feinen Tierhaaren,di lana o di peli fini,of wool or fine animal hair,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2022-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=62012000
62042100,620421,62,6204,de laine ou de poils fins,aus Wolle oder feinen Tierhaaren,di lana o di peli fini,of wool or fine animal hair,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=62042100
62063000,620630,62,6206,de coton,aus Baumwolle,di cotone,of cotton,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=62063000
62111100,621111,62,6211,pour hommes ou garçonnets,für Männer oder Knaben,per uomo o ragazzo,men's or boys',per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=62111100
64011000,640110,64,6401,"chaussures comportant, à l'avant, une coquille de protection en métal",Schuhe mit einem Metallschutz in der Vorderkappe,calzature con puntale protettivo di metallo,footwear incorporating a protective metal toe-cap,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=64011000
64029100,640291,64,6402,couvrant la cheville,den Knöchel bedeckend,che ricoprono la caviglia,covering the ankle,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=64029100
64035100,640351,64,6403,couvrant la cheville,den Knöchel bedeckend,che ricoprono la caviglia,covering the ankle,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=64035100
64042000,640420,64,6404,chaussures à semelles extérieures en cuir naturel ou reconstitué,Schuhe mit Laufsohlen aus Leder oder rekonstituiertem Leder,calzature con suole esterne di cuoio naturale o ricostituito,footwear with outer soles of leather or composition leather,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=64042000
71011000,710110,71,7101,perles fines,echte Perlen,perle fini,natural pearls,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=71011000
71042900,710429,71,7104,autres,andere,altre,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2022-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=71042900
